concentration,absorbance,plate,well
0,2.37439540598496,plate_2,B6
0,2.79447537627926,plate_2,B7
0,1.8516301532186,plate_2,B8
0,2.21492077873521,plate_2,C1
0,2.69182632997275,plate_2,C2
0,1.73275736404455,plate_2,C3
0,2.31718433398104,plate_2,C4
0,1.9412458709897,plate_2,C5
0,1.52259969838196,plate_2,C6
0,1.57411254891105,plate_2,C7
0,1.68009293037361,plate_2,C8
10,2.00624621150451,plate_2,D1
10,1.72705076916819,plate_2,D2
10,2.47686183088858,plate_2,D3
10,2.59084500641834,plate_2,D4
10,3.09042774243018,plate_2,D5
10,2.44441973971608,plate_2,D6
10,2.17674676730207,plate_2,D7
10,2.53575382295294,plate_2,D8
10,1.99291222354641,plate_2,E1
10,2.05442682850718,plate_2,E2
10,2.39215601793322,plate_2,E3
10,2.3804213296152,plate_2,E4
10,2.59260377066935,plate_2,E5
10,1.98416217515389,plate_2,E6
10,2.48701071709435,plate_2,E7
10,2.06659584805755,plate_2,E8
10,1.41122220832266,plate_2,F1
10,1.6374137803282,plate_2,F2
10,2.33542673208324,plate_2,F3
10,1.97687566496808,plate_2,F4
10,1.71880025201419,plate_2,F5
10,2.18548981963593,plate_2,F6
10,1.86219932090159,plate_2,F7
10,1.84910509648268,plate_2,F8
20,1.57873274464313,plate_2,G1
20,1.59129620165474,plate_2,G2
20,1.65563368414407,plate_2,G3
20,1.74089957553946,plate_2,G4
20,2.30734811427426,plate_2,G5
20,1.978591069323,plate_2,G6
20,1.64403837594143,plate_2,G7
20,1.74424967463354,plate_2,G8
20,1.73089488461555,plate_2,H1
20,1.67538354487303,plate_2,H2
20,0.725530995514613,plate_2,H3
20,0.808621364768745,plate_2,H4
20,0.852589604192308,plate_2,H5
20,1.58683978203961,plate_2,H6
20,1.48859089868191,plate_2,H7
20,2.04546406117093,plate_2,H8
20,1.00759585246837,plate_2,I1
20,0.0249683056288939,plate_2,I2
20,0.60400540360165,plate_2,I3
20,0.00287015290257886,plate_2,I4
20,0.382237552996197,plate_2,I5
20,0.114292795264278,plate_2,I6
20,0.203585868341239,plate_2,I7
20,0.610656769078182,plate_2,I8
40,0.0981317607403081,plate_2,J1
40,0.544334389559084,plate_2,J2
40,0.168442671555241,plate_2,J3
40,0.214050878798806,plate_2,J4
40,0.334236344836112,plate_2,J5
40,0.57934337137897,plate_2,J6
40,0.402926414941909,plate_2,J7
40,0.296750354108526,plate_2,J8
40,0.207527237490499,plate_2,K1
40,0.413034493828295,plate_2,K2
40,0.0318498274722151,plate_2,K3
40,0.206622351272515,plate_2,K4
40,0.392385436331052,plate_2,K5
40,0.382924707273259,plate_2,K6
40,0.158361756762516,plate_2,K7
40,0.381457324407926,plate_2,K8
40,0.346493385870342,plate_2,L1
40,0.0112119712537642,plate_2,L2
40,0.0095030831360865,plate_2,L3
40,0.319308543267677,plate_2,L4
40,0.148128852216828,plate_2,L5
40,0.120442890920073,plate_2,L6
40,0.145041635548363,plate_2,L7
40,0.138892732875985,plate_2,L8
